43, -1, 1
100, 0, 3
84, 1, 1
26, 2, 12
16, 3, 4
50, 4, 3
1, 5, 17
66, 6, 0
51, 7, 19
32, 8, 20
71, 9, 7
97, 10, 1
19, 11, 6
65, 12, 2
43, 13, 3
80, 14, 14
25, 15, 2
43, 16, 2
51, 17, 9
70, 18, 11
93, 19, 8
61, 20, 2
79, 21, 12
92, 22, 6
26, 23, 2
19, 24, 9
42, 25, 1
47, 26, 3
5, 27, 15
6, 28, 19
84, 29, 7
78, 30, 13
60, 31, 1
59, 32, 7
36, 33, 19
67, 34, 7
77, 35, 19
92, 36, 15
99, 37, 8
15, 38, 0
36, 39, 4
15, 40, 14
32, 41, 6
77, 42, 11
49, 43, 13
95, 44, 4
45, 45, 19
84, 46, 3
19, 47, 9
97, 48, 0
81, 49, 2
79, 50, 4
82, 51, 1
77, 52, 1
26, 53, 20
1, 54, 14
41, 55, 3
37, 56, 20
5, 57, 6
15, 58, 1
53, 59, 7
51, 60, 11
21, 61, 14
91, 62, 9
95, 63, 0
57, 64, 10
55, 65, 5
8, 66, 17
1, 67, 0
73, 68, 11
57, 69, 17
